"計算機ネットワーク Ⅱ","与えられた条件で、小中規模のコンピュータネットワークを構築できる技術者を育成する。","ネットワークを構成するコンポーネント（ルータ、スイッチ、サーバ、パソコン、etc.）の基本的な設定内容とその設定方法を学習する。シミュレータを用いて仮想的なネットワークを構築し、そのネットワーク内の各コンポーネントの設定を実際に行って動作を確認する。"
"制御工学","「制御」の目的は，動きのある「物」「事」（システム）を自由にあやつることである．本講義は，「制御」の初学者を対象とする．受講者が，まず全体像をつかんだ上で，基本的な考え方を理解し，具体例や研究の歴史を通して制御の考え方の流れを理解することを目的とする．そして，数学に重点を置いた理論として制御対象およびシステムを状態方程式（微分方程式）でモデル化し，微分方程式を用いた制御則の設計，制御則の実現などの具体的な手順に関する知識の習得を目標とする．","制御を行う際に必要になる基本的な考え方，状態方程式によるモデル化，制御系の設計・実現について講義する．後半では制御理論の移り変わりを通して，社会の中で制御がどのように用いられてきたかを紹介し，現在の制御理論の概要，必要性を概観する．"
"電磁気学","情報通信デバイス、情報通信機器、情報通信システム、情報通信ネットワークの解析・設計・開発などに不可欠な専門科目である電磁気学の原理や法則を現象論的かつ体系的に理解させ、電磁気学にかかわる様々な問題や課題を解決するために必要な物理的考察力と数学的解析力をそれぞれ習得させる。","体系化された電磁気学の基本法則に関連づけて様々な電磁気現象や現象論的法則を解説するフォーマルセオリーとしての電磁気学を講義する。そのため重積分やベクトル解析などの解析学を駆使するが、できる限り直感的なイメージを伴って電磁気現象や現象論的法則を理解できるように工夫する。また、適時、問題練習や課題演習を行い、計算力や思考力の育成・強化を図る。"
"コンピュータ援用論理設計","集積回路技術の進歩により、 計算機（コンピュータ）は高性能化・高機能化し、その応用分野はますます広がっている。 特に近年、携帯用の情報通信端末が急速に普及したことに伴い、コンピュータの小型化・低消費電力化を可能とする設計手法は重要な課題である。 本講義では、前期で演習を通じたコンピュータの設計手法の習得を目指し、後期では演習で得た知識を基に、実際の設計フローやLSI設計において必要となる知識の定着を目指す。","前期はハードウェア記述言語Verilog HDLを用いた回路の基礎的記述法を習得した後、モデルコンピュータを例として取り上げ、CPUの設計法を学ぶ。後期は、前期の演習を踏まえてLSI設計において必要となる理論についての講義を行う。"
"オペレーティングシステム","オペレーティングシステムは，コンピュータを使う上で基本的でかつ不可欠なソフトウェアである．この授業では，オペレーティングシステムの役割，機能，仕組みの基本を理解することを目的とする．","オペレーティングシステムの役割，機能，仕組みについて具体例を挙げながら解説し，理解を深める．"
"計算機言語処理","プログラミング言語で記述されたプログラムが、計算機で実行されるまでにどのように処理されるかについて学ぶ。","コンパイラの基本的な仕組みについて、ソースコードからオブジェクトコードまでの変換手順に沿って学んでいく。適宜、具体例の紹介や演習問題を交えて理解を深めていく。"
"情報理論","シャノンの通信理論に基づく理論体系について学ぶ。さらに、符号理論の基礎についても学ぶ。","本科目では、情報や通信の数学的な扱い方について学ぶ。各種理論の説明に加え、具体例の紹介や演習問題を行い、理解を深めていく。"
"情報セキュリティ","情報機器や情報ネットワークが発達し、多くの情報が発生し交換される現代において、技術者が身につけておくべき情報セキュリティに関する基本的な技術や知識について学ぶ。","本科目では、暗号技術やアクセス制御技術といった技術に加え、組織の情報セキュリティを確保するための仕組みや情報セキュリティに関する法制度など、情報を守るための手段について広く学ぶ。各種技術について、原理の説明に加えて具体例の紹介や演習問題を行い、理解を深めていく。また、情報セキュリティに関する事例についても適宜紹介する。"
"情報工学実験III","情報工学関連分野（ハードウェア，ソフトウェア，ネットワーク）の特色あるテーマに基づく複数の実験をそれぞれ少人数のグループで行い，各分野において研究や実務を遂行するために必要な実践的な技術や能力を習得する．","・マイクロコントローラプログラミングに関する実験 (浅井) 
ルネサスエレクトロニクスのマイクロコントローラ78K0を使用してＣ言語によるプログラミング実習を行い，汎用I/Oポート，多機能タイマ，A/Dコンバータなどの内蔵周辺機能と割り込み処理に関する基礎知識を理解し，実装手法を習得する．
・マルチエージェントで，複雑な模様を描くプログラミング実験 （山口）
MASシミュレータを用いて単純な規則性の重ね合わせから，複雑な挙動が発生しうることを体験し，エージェントの足跡で複雑な模様を描くプログラムを作成する．プログラムを段階的に追加・拡張することで，プログラムの挙動を単純から複雑化する構造的な作成法を学ぶ．
・ネットワークルータの設定と通信制御に関する実験（井上）
トラフィックの優先制御や廃棄処理など、代表的なネットワークの制御について、ルータの設定を演習に取り入れ、基礎知識を学習する。
・ソフトウェアテストに関する実験(上野)
ソフトウェア開発に欠かせない工程であるソフトウェアテストのための知識の取得と，テストコードの作成を行う．実験を通じて，JUnitを例にしたテストの自動化とTest Firstの考え方について学ぶ．
・ハードウェア記述言語（HDL）を用いた設計実験(岩田) ザイリンクス社の回路シミュレーターISEおよびFPGAボードSpartanを用いて組合せ回路（ALU）
および順序回路（24時間時計）の設計を行う．
・コンピュータネットワークに関する実験（西野）
この実験では，パーソナルコンピュータに FreeBSD（http://www.jp.freebsd.org/）を導入し，このパソコンを用いて，FreeBSD におけるユーザ登録を行い，さらにはネットワークケーブルの作成，ネットワークの構築およびネットワークアプリケーションの利用方法などについて実験/体験することにより，UNIX の基礎はもちろんのこと UNIX の管理者としての基礎知識やネットワークの構築方法などの基本的な知識と実践的な技術を修得することを目的とする．なお，第 3 学年の計算機システム演習や第 4 学年の情報工学演習 Bのテキストや参考資料がある場合は持参することを薦める．"
"学外実習","企業などにおける実体験を通じて，実践的な技術を学ぶとともに，技術者として必要な適応能力を養う．また今後の学生生活における学習の意義および位置付けを明確化し，将来の進路決定の一助とする．","学生の希望と受け入れ企業の状況を勘案して，実習先を決定する．
夏季休業期間中に5日・30時間以上，実習先企業担当者の指導のもと，実習を行う．
実習中に担当教員が実習先企業を訪問し，実習の状況を視察する．
実習終了後，速やかに実習修了証明書，実習業務日誌，実習報告書，単位認定申請書(学科主任宛)を提出する．"
